reg_id,type1,type2,Q,A
PERMEN_PERIN_2018_17,Q1,Q1.1,Siapa yang menetapkan Peraturan Menteri Perindustrian Republik Indonesia Nomor 17 Tahun 2018?,AIRLANGGA HARTARTO
PERMEN_RISTEKDIKTI_2017_11,Q1,Q1.1,Siapa yang menetapkan Peraturan Menteri Riset Teknologi Dan Pendidikan Tinggi Republik Indonesia Nomor 11 Tahun 2017?,MOHAMAD NASIR
PERMEN_TAN_2016_10,Q1,Q1.1,Siapa yang menetapkan Peraturan Menteri Pertanian Republik Indonesia Nomor 10 Tahun 2016?,AMRAN SULAIMAN
PERMEN_TAN_2016_24,Q1,Q1.1,Siapa yang menetapkan Peraturan Menteri Pertanian Republik Indonesia Nomor 24 Tahun 2016?,AMRAN SULAIMAN
PERPRES_2016_120,Q1,Q1.1,Siapa yang menetapkan Peraturan Presiden  Republik Indonesia Nomor 120 Tahun 2016?,Joko Widodo
PERPRES_2017_57,Q1,Q1.1,Siapa yang menetapkan Peraturan Presiden  Republik Indonesia Nomor 57 Tahun 2017?,JOKO WIDODO
PERPRES_2018_86,Q1,Q1.1,Siapa yang menetapkan Peraturan Presiden  Republik Indonesia Nomor 86 Tahun 2018?,JOKO WIDODO
PERPROV_JABAR_2013_12,Q1,Q1.1,Siapa yang menetapkan Peraturan Daerah Provinsi Jawa Barat Nomor 12 Tahun 2013?,AHMAD HERYAWAN
PERPROV_JAMBI_2013_7,Q1,Q1.1,Siapa yang menetapkan Peraturan Daerah Provinsi Jambi Nomor 7 Tahun 2013?,H. HASAN BASRI AGUS
PERPROV_NTB_2015_2,Q1,Q1.1,Siapa yang menetapkan Peraturan Daerah Provinsi Nusa Tenggara Barat Nomor 2 Tahun 2015?,H. M. ZAINUL MAJDI
PP_1981_33,Q1,Q1.1,Siapa yang menetapkan Peraturan Pemerintah  Republik Indonesia Nomor 33 Tahun 1981?,SOEHARTO
PP_1985_26,Q1,Q1.1,Siapa yang menetapkan Peraturan Pemerintah  Republik Indonesia Nomor 26 Tahun 1985?,SOEHARTO
PP_1995_36,Q1,Q1.1,Siapa yang menetapkan Peraturan Pemerintah  Republik Indonesia Nomor 36 Tahun 1995?,SOEHARTO
PP_1996_48,Q1,Q1.1,Siapa yang menetapkan Peraturan Pemerintah  Republik Indonesia Nomor 48 Tahun 1996?,SOEHARTO
PP_1998_35,Q1,Q1.1,Siapa yang menetapkan Peraturan Pemerintah  Republik Indonesia Nomor 35 Tahun 1998?,SOEHARTO
PP_1998_9,Q1,Q1.1,Siapa yang menetapkan Peraturan Pemerintah  Republik Indonesia Nomor 9 Tahun 1998?,SOEHARTO
PP_2018_22,Q1,Q1.1,Siapa yang menetapkan Peraturan Pemerintah  Republik Indonesia Nomor 22 Tahun 2018?,JOKO WIDODO
PP_2019_7,Q1,Q1.1,Siapa yang menetapkan Peraturan Pemerintah  Republik Indonesia Nomor 7 Tahun 2019?,JOKO WIDODO
PERKAB_BATANG_2010_7,Q1,Q1.2,Kapan Peraturan Daerah Kabupaten Batang Nomor 7 Tahun 2010 diundangkan?,28 juli 2010
PERKAB_BUTON_2011_44,Q1,Q1.2,Kapan Peraturan Daerah Kabupaten Buton Nomor 44 Tahun 2011 diundangkan?,17 februari 2011
PERKOT_BOGOR_2011_12,Q1,Q1.2,Kapan Peraturan Daerah Kota Bogor Nomor 12 Tahun 2011 diundangkan?,3 oktober 2011
PERKOT_MAGELANG_2011_6,Q1,Q1.2,Kapan Peraturan Daerah Kota Magelang Nomor 6 Tahun 2011 diundangkan?,9 agustus 2011
PERKOT_MALANG_2010_15,Q1,Q1.2,Kapan Peraturan Daerah Kota Malang Nomor 15 Tahun 2010 diundangkan?,30 desember 2010
PERMEN_AGAMA_2017_14,Q1,Q1.2,Kapan Peraturan Menteri Agama Republik Indonesia Nomor 14 Tahun 2017 diundangkan?,22 maret 2017
PERMEN_AGAMA_2018_5,Q1,Q1.2,Kapan Peraturan Menteri Agama Republik Indonesia Nomor 5 Tahun 2018 diundangkan?,25 januari 2018
PERMEN_ATRBPN_2016_34,Q1,Q1.2,Kapan Peraturan Menteri Agraria Dan Tata Ruang/ Kepala Badan Pertanahan Nasional Republik Indonesia Nomor 34 Tahun 2016 diundangkan?,24 oktober 2016
PERMEN_ATRBPN_2018_2,Q1,Q1.2,Kapan Peraturan Menteri Agraria Dan Tata Ruang/ Kepala Badan Pertanahan Nasional Republik Indonesia Nomor 2 Tahun 2018 diundangkan?,28 februari 2018
PERMEN_DAG_2016_73,Q1,Q1.2,Kapan Peraturan Menteri Perdagangan Republik Indonesia Nomor 73 Tahun 2016 diundangkan?,24 oktober 2016
PERMEN_DAGRI_2016_25,Q1,Q1.2,Kapan Peraturan Menteri Dalam Negeri Republik Indonesia Nomor 25 Tahun 2016 diundangkan?,24 mei 2016
PERMEN_DAGRI_2017_35,Q1,Q1.2,Kapan Peraturan Menteri Dalam Negeri Republik Indonesia Nomor 35 Tahun 2017 diundangkan?,19 juni 2017
PERMEN_DAGRI_2018_131,Q1,Q1.2,Kapan Peraturan Menteri Dalam Negeri Republik Indonesia Nomor 131 Tahun 2018 diundangkan?,28 desember 2018
PERMEN_DESA_2016_11,Q1,Q1.2,"Kapan Peraturan Menteri Desa, Pembangunan Daerah Tertinggal, Dan Transmigrasi Republik Indonesia Nomor 11 Tahun 2016 diundangkan?",8 juni 2016
PERMEN_DESA_2018_15,Q1,Q1.2,"Kapan Peraturan Menteri Desa, Pembangunan Daerah Tertinggal, Dan Transmigrasi Republik Indonesia Nomor 15 Tahun 2018 diundangkan?",19 september 2018
PERMEN_HUB_2016_138,Q1,Q1.2,Kapan Peraturan Menteri Perhubungan Republik Indonesia Nomor 138 Tahun 2016 diundangkan?,2 november 2016
PERMEN_KES_2017_45,Q1,Q1.2,Kapan Peraturan Menteri Kesehatan Republik Indonesia Nomor 45 Tahun 2017 diundangkan?,4 oktober 2017
PERMEN_KES_2019_49,Q1,Q1.2,Kapan Peraturan Menteri Kesehatan Republik Indonesia Nomor 49 Tahun 2019 diundangkan?,18 oktober 2019
PERMEN_KES_2019_68,Q1,Q1.2,Kapan Peraturan Menteri Kesehatan Republik Indonesia Nomor 68 Tahun 2019 diundangkan?,18 oktober 2019
PERMEN_KEU_2016_105,Q1,Q1.2,Kapan Peraturan Menteri Keuangan Republik Indonesia Nomor 105 Tahun 2016 diundangkan?,30 juni 2016
PERMEN_KEU_2017_184,Q1,Q1.2,Kapan Peraturan Menteri Keuangan Republik Indonesia Nomor 184 Tahun 2017 diundangkan?,4 desember 2017
PERMEN_KEU_2019_182,Q1,Q1.2,Kapan Peraturan Menteri Keuangan Republik Indonesia Nomor 182 Tahun 2019 diundangkan?,5 desember 2019
PERMEN_KOMINFO_2016_14,Q1,Q1.2,Kapan Peraturan Menteri Komunikasi Dan Informatika Republik Indonesia Nomor 14 Tahun 2016 diundangkan?,18 agustus 2016
PERMEN_KOMINFO_2017_6,Q1,Q1.2,Kapan Peraturan Menteri Komunikasi Dan Informatika Republik Indonesia Nomor 6 Tahun 2017 diundangkan?,29 januari 2017
PERMEN_KP_2015_35,Q1,Q1.2,Kapan Peraturan Menteri Kelautan Dan Perikanan Republik Indonesia Nomor 35 Tahun 2015 diundangkan?,8 desember 2015
PERMEN_KP_2017_24,Q1,Q1.2,Kapan Peraturan Menteri Kelautan Dan Perikanan Republik Indonesia Nomor 24 Tahun 2017 diundangkan?,27 maret 2017
PERMEN_KP_2018_48,Q1,Q1.2,Kapan Peraturan Menteri Kelautan Dan Perikanan Republik Indonesia Nomor 48 Tahun 2018 diundangkan?,20 desember 2018
PERMEN_LHK_2015_58,Q1,Q1.2,Kapan Peraturan Menteri Lingkungan Hidup Dan Kehutanan Republik Indonesia Nomor 58 Tahun 2015 diundangkan?,10 november 2015
PERMEN_LHK_2017_21,Q1,Q1.2,Kapan Peraturan Menteri Lingkungan Hidup Dan Kehutanan Republik Indonesia Nomor 21 Tahun 2017 diundangkan?,23 maret 2017
PERMEN_LHK_2019_38,Q1,Q1.2,Kapan Peraturan Menteri Lingkungan Hidup Dan Kehutanan Republik Indonesia Nomor 38 Tahun 2019 diundangkan?,31 juli 2019
PERMEN_LHK_2018_86,Q1,Q1.2,Kapan Peraturan Menteri Lingkungan Hidup Dan Kehutanan Republik Indonesia Nomor 86 Tahun 2018 diundangkan?,8 agustus 2018
PERMEN_LU_2017_10,Q1,Q1.2,Kapan Peraturan Menteri Luar Negeri Republik Indonesia Nomor 10 Tahun 2017 diundangkan?,3 november 2017
PERMEN_PERIN_2018_17,Q1,Q1.2,Kapan Peraturan Menteri Perindustrian Republik Indonesia Nomor 17 Tahun 2018 diundangkan?,28 juni 2018
PERMEN_RISTEKDIKTI_2017_11,Q1,Q1.2,Kapan Peraturan Menteri Riset Teknologi Dan Pendidikan Tinggi Republik Indonesia Nomor 11 Tahun 2017 diundangkan?,4 januari 2017
PERMEN_TAN_2016_10,Q1,Q1.2,Kapan Peraturan Menteri Pertanian Republik Indonesia Nomor 10 Tahun 2016 diundangkan?,8 maret 2016
PERMEN_TAN_2016_24,Q1,Q1.2,Kapan Peraturan Menteri Pertanian Republik Indonesia Nomor 24 Tahun 2016 diundangkan?,20 mei 2016
PERPRES_2016_120,Q1,Q1.2,Kapan Peraturan Presiden  Republik Indonesia Nomor 120 Tahun 2016 diundangkan?,30 desember 2016
PERPRES_2017_57,Q1,Q1.2,Kapan Peraturan Presiden  Republik Indonesia Nomor 57 Tahun 2017 diundangkan?,30 mei 2017
PERPRES_2018_86,Q1,Q1.2,Kapan Peraturan Presiden  Republik Indonesia Nomor 86 Tahun 2018 diundangkan?,24 september 2018
PERPROV_JABAR_2013_12,Q1,Q1.2,Kapan Peraturan Daerah Provinsi Jawa Barat Nomor 12 Tahun 2013 diundangkan?,24 oktober 2013
PERPROV_JAMBI_2013_7,Q1,Q1.2,Kapan Peraturan Daerah Provinsi Jambi Nomor 7 Tahun 2013 diundangkan?,20 mei 2013
PERPROV_NTB_2015_2,Q1,Q1.2,Kapan Peraturan Daerah Provinsi Nusa Tenggara Barat Nomor 2 Tahun 2015 diundangkan?,6 april 2015
PP_1981_33,Q1,Q1.2,Kapan Peraturan Pemerintah  Republik Indonesia Nomor 33 Tahun 1981 diundangkan?,6 oktober 1981
PP_1985_26,Q1,Q1.2,Kapan Peraturan Pemerintah  Republik Indonesia Nomor 26 Tahun 1985 diundangkan?,31 mei 1985
PP_1995_36,Q1,Q1.2,Kapan Peraturan Pemerintah  Republik Indonesia Nomor 36 Tahun 1995 diundangkan?,22 september 1995
PP_1996_48,Q1,Q1.2,Kapan Peraturan Pemerintah  Republik Indonesia Nomor 48 Tahun 1996 diundangkan?,12 juli 1996
PP_1998_35,Q1,Q1.2,Kapan Peraturan Pemerintah  Republik Indonesia Nomor 35 Tahun 1998 diundangkan?,5 maret 1998
PP_1998_9,Q1,Q1.2,Kapan Peraturan Pemerintah  Republik Indonesia Nomor 9 Tahun 1998 diundangkan?,9 januari 1998
PP_2018_22,Q1,Q1.2,Kapan Peraturan Pemerintah  Republik Indonesia Nomor 22 Tahun 2018 diundangkan?,5 juni 2018
PP_2019_7,Q1,Q1.2,Kapan Peraturan Pemerintah  Republik Indonesia Nomor 7 Tahun 2019 diundangkan?,22 februari 2019
PERKAB_BATANG_2010_7,Q1,Q1.3,Kapan Peraturan Daerah Kabupaten Batang Nomor 7 Tahun 2010 ditetapkan?,28 juli 2010
PERKAB_BUTON_2011_44,Q1,Q1.3,Kapan Peraturan Daerah Kabupaten Buton Nomor 44 Tahun 2011 ditetapkan?,16 februari 2011
PERKOT_BOGOR_2011_12,Q1,Q1.3,Kapan Peraturan Daerah Kota Bogor Nomor 12 Tahun 2011 ditetapkan?,3 oktober 2011
PERKOT_MAGELANG_2011_6,Q1,Q1.3,Kapan Peraturan Daerah Kota Magelang Nomor 6 Tahun 2011 ditetapkan?,9 agustus 2011
PERKOT_MALANG_2010_15,Q1,Q1.3,Kapan Peraturan Daerah Kota Malang Nomor 15 Tahun 2010 ditetapkan?,31 desember 2010
PERMEN_AGAMA_2017_14,Q1,Q1.3,Kapan Peraturan Menteri Agama Republik Indonesia Nomor 14 Tahun 2017 ditetapkan?,22 maret 2017
PERMEN_AGAMA_2018_5,Q1,Q1.3,Kapan Peraturan Menteri Agama Republik Indonesia Nomor 5 Tahun 2018 ditetapkan?,25 januari 2018
PERMEN_ATRBPN_2016_34,Q1,Q1.3,Kapan Peraturan Menteri Agraria Dan Tata Ruang/ Kepala Badan Pertanahan Nasional Republik Indonesia Nomor 34 Tahun 2016 ditetapkan?,9 november 2016
PERMEN_ATRBPN_2018_2,Q1,Q1.3,Kapan Peraturan Menteri Agraria Dan Tata Ruang/ Kepala Badan Pertanahan Nasional Republik Indonesia Nomor 2 Tahun 2018 ditetapkan?,20 maret 2018
PERMEN_DAG_2016_73,Q1,Q1.3,Kapan Peraturan Menteri Perdagangan Republik Indonesia Nomor 73 Tahun 2016 ditetapkan?,27 oktober 2016
PERMEN_DAGRI_2016_25,Q1,Q1.3,Kapan Peraturan Menteri Dalam Negeri Republik Indonesia Nomor 25 Tahun 2016 ditetapkan?,9 juni 2016
PERMEN_DAGRI_2017_35,Q1,Q1.3,Kapan Peraturan Menteri Dalam Negeri Republik Indonesia Nomor 35 Tahun 2017 ditetapkan?,10 juli 2017
PERMEN_DAGRI_2018_131,Q1,Q1.3,Kapan Peraturan Menteri Dalam Negeri Republik Indonesia Nomor 131 Tahun 2018 ditetapkan?,15 februari 2019
PERMEN_DESA_2016_11,Q1,Q1.3,"Kapan Peraturan Menteri Desa, Pembangunan Daerah Tertinggal, Dan Transmigrasi Republik Indonesia Nomor 11 Tahun 2016 ditetapkan?",10 juni 2016
PERMEN_DESA_2018_15,Q1,Q1.3,"Kapan Peraturan Menteri Desa, Pembangunan Daerah Tertinggal, Dan Transmigrasi Republik Indonesia Nomor 15 Tahun 2018 ditetapkan?",18 oktober 2018
PERMEN_HUB_2016_138,Q1,Q1.3,Kapan Peraturan Menteri Perhubungan Republik Indonesia Nomor 138 Tahun 2016 ditetapkan?,11 november 2016
PERMEN_KES_2017_45,Q1,Q1.3,Kapan Peraturan Menteri Kesehatan Republik Indonesia Nomor 45 Tahun 2017 ditetapkan?,26 oktober 2017
PERMEN_KES_2019_49,Q1,Q1.3,Kapan Peraturan Menteri Kesehatan Republik Indonesia Nomor 49 Tahun 2019 ditetapkan?,30 oktober 2019
PERMEN_KES_2019_68,Q1,Q1.3,Kapan Peraturan Menteri Kesehatan Republik Indonesia Nomor 68 Tahun 2019 ditetapkan?,30 oktober 2019
PERMEN_KEU_2016_105,Q1,Q1.3,Kapan Peraturan Menteri Keuangan Republik Indonesia Nomor 105 Tahun 2016 ditetapkan?,1 juli 2016
PERMEN_KEU_2017_184,Q1,Q1.3,Kapan Peraturan Menteri Keuangan Republik Indonesia Nomor 184 Tahun 2017 ditetapkan?,5 desember 2017
PERMEN_KEU_2019_182,Q1,Q1.3,Kapan Peraturan Menteri Keuangan Republik Indonesia Nomor 182 Tahun 2019 ditetapkan?,5 desember 2019
PERMEN_KOMINFO_2016_14,Q1,Q1.3,Kapan Peraturan Menteri Komunikasi Dan Informatika Republik Indonesia Nomor 14 Tahun 2016 ditetapkan?,1 september 2016
PERMEN_KOMINFO_2017_6,Q1,Q1.3,Kapan Peraturan Menteri Komunikasi Dan Informatika Republik Indonesia Nomor 6 Tahun 2017 ditetapkan?,7 februari 2017
PERMEN_KP_2015_35,Q1,Q1.3,Kapan Peraturan Menteri Kelautan Dan Perikanan Republik Indonesia Nomor 35 Tahun 2015 ditetapkan?,10 desember 2015
PERMEN_KP_2017_24,Q1,Q1.3,Kapan Peraturan Menteri Kelautan Dan Perikanan Republik Indonesia Nomor 24 Tahun 2017 ditetapkan?,30 maret 2017
PERMEN_KP_2018_48,Q1,Q1.3,Kapan Peraturan Menteri Kelautan Dan Perikanan Republik Indonesia Nomor 48 Tahun 2018 ditetapkan?,31 desember 2018
PERMEN_LHK_2015_58,Q1,Q1.3,Kapan Peraturan Menteri Lingkungan Hidup Dan Kehutanan Republik Indonesia Nomor 58 Tahun 2015 ditetapkan?,20 januari 2016
PERMEN_LHK_2017_21,Q1,Q1.3,Kapan Peraturan Menteri Lingkungan Hidup Dan Kehutanan Republik Indonesia Nomor 21 Tahun 2017 ditetapkan?,3 april 2017
PERMEN_LHK_2019_38,Q1,Q1.3,Kapan Peraturan Menteri Lingkungan Hidup Dan Kehutanan Republik Indonesia Nomor 38 Tahun 2019 ditetapkan?,5 september 2019
PERMEN_LHK_2018_86,Q1,Q1.3,Kapan Peraturan Menteri Lingkungan Hidup Dan Kehutanan Republik Indonesia Nomor 86 Tahun 2018 ditetapkan?,27 agustus 2018
PERMEN_LU_2017_10,Q1,Q1.3,Kapan Peraturan Menteri Luar Negeri Republik Indonesia Nomor 10 Tahun 2017 ditetapkan?,14 november 2017
PERMEN_PERIN_2018_17,Q1,Q1.3,Kapan Peraturan Menteri Perindustrian Republik Indonesia Nomor 17 Tahun 2018 ditetapkan?,4 juli 2018
PERMEN_RISTEKDIKTI_2017_11,Q1,Q1.3,Kapan Peraturan Menteri Riset Teknologi Dan Pendidikan Tinggi Republik Indonesia Nomor 11 Tahun 2017 ditetapkan?,9 januari 2017
PERMEN_TAN_2016_10,Q1,Q1.3,Kapan Peraturan Menteri Pertanian Republik Indonesia Nomor 10 Tahun 2016 ditetapkan?,15 maret 2016
PERMEN_TAN_2016_24,Q1,Q1.3,Kapan Peraturan Menteri Pertanian Republik Indonesia Nomor 24 Tahun 2016 ditetapkan?,10 juni 2016
PERPRES_2016_120,Q1,Q1.3,Kapan Peraturan Presiden  Republik Indonesia Nomor 120 Tahun 2016 ditetapkan?,30 desember 2016
PERPRES_2017_57,Q1,Q1.3,Kapan Peraturan Presiden  Republik Indonesia Nomor 57 Tahun 2017 ditetapkan?,6 juni 2017
PERPRES_2018_86,Q1,Q1.3,Kapan Peraturan Presiden  Republik Indonesia Nomor 86 Tahun 2018 ditetapkan?,27 september 2018
PERPROV_JABAR_2013_12,Q1,Q1.3,Kapan Peraturan Daerah Provinsi Jawa Barat Nomor 12 Tahun 2013 ditetapkan?,25 oktober 2013
PERPROV_JAMBI_2013_7,Q1,Q1.3,Kapan Peraturan Daerah Provinsi Jambi Nomor 7 Tahun 2013 ditetapkan?,20 mei 2013
PERPROV_NTB_2015_2,Q1,Q1.3,Kapan Peraturan Daerah Provinsi Nusa Tenggara Barat Nomor 2 Tahun 2015 ditetapkan?,6 april 2015
PP_1981_33,Q1,Q1.3,Kapan Peraturan Pemerintah  Republik Indonesia Nomor 33 Tahun 1981 ditetapkan?,6 oktober 1981
PP_1985_26,Q1,Q1.3,Kapan Peraturan Pemerintah  Republik Indonesia Nomor 26 Tahun 1985 ditetapkan?,31 mei 1985
PP_1995_36,Q1,Q1.3,Kapan Peraturan Pemerintah  Republik Indonesia Nomor 36 Tahun 1995 ditetapkan?,22 september 1995
PP_1996_48,Q1,Q1.3,Kapan Peraturan Pemerintah  Republik Indonesia Nomor 48 Tahun 1996 ditetapkan?,12 juli 1996
PP_1998_35,Q1,Q1.3,Kapan Peraturan Pemerintah  Republik Indonesia Nomor 35 Tahun 1998 ditetapkan?,5 maret 1998
PP_1998_9,Q1,Q1.3,Kapan Peraturan Pemerintah  Republik Indonesia Nomor 9 Tahun 1998 ditetapkan?,9 januari 1998
PP_2018_22,Q1,Q1.3,Kapan Peraturan Pemerintah  Republik Indonesia Nomor 22 Tahun 2018 ditetapkan?,6 juni 2018
PP_2019_7,Q1,Q1.3,Kapan Peraturan Pemerintah  Republik Indonesia Nomor 7 Tahun 2019 ditetapkan?,26 februari 2019
PERKAB_BATANG_2010_7,Q1,Q1.4,Apa pertimbangan dalam membuat Peraturan Daerah Kabupaten Batang Nomor 7 Tahun 2010?,"bahwa untuk melaksanakan ketentuan Pasal 184 ayat (1) Undang-undang Nomor 32 Tahun 2004 tentang Pemerintahan Daerah sebagaimana telah beberapa kali diubah terakhir dengan Undang- undang Nomor 12 Tahun 2008 tentang Perubahan Kedua atas Undang-undang Nomor 32 Tahun 2004 tentang Pemerintahan Daerah (Lembaran Negara Republik Indonesia Tahun 2008 Nomor 590, Tambahan Lembaran Negara Republik Indonesia Nomor 4844) Kepala Daerah menyampaikan Rancangan Peraturan Daerah tentang Pertanggungjawaban Pelaksanaan Anggaran Pendapatan dan Belanja Daerah kepada Dewan Perwakilan Rakyat berupa laporan keuangan yang telah diperiksa oleh Badan Pemeriksa Keuangan paling lambat 6 (enam) bulan setelah tahun anggaran berakhir;
bahwa berdasarkan pertimbangan sebagaimana dimaksud huruf a, perlu menetapkan Peraturan Daerah tentang Pertanggungjawaban Pelaksanaan Anggaran Pendapatan dan Belanja Daerah Kabupaten Batang Tahun Anggaran 2009."
PERKAB_BUTON_2011_44,Q1,Q1.4,Apa pertimbangan dalam membuat Peraturan Daerah Kabupaten Buton Nomor 44 Tahun 2011?,"bahwa dalam rangka meningkatkan efektifitas pelayanan pemerintahan, pembangunan dan pembinaan kemasyarakatan pada wilayah Desa Lapandewa perlu diadakan pemekaran dengan pembentukan Desa Lapandewa Jaya Kecamatan Lapandewa;
bahwa berdasarkan pertimbangan sebagaimana dimaksud dalam huruf a, perlu menetapkan Peraturan Daerah tentang Pembentukan Desa Lapandewa Jaya Kecamatan Lapandewa"
